iter,ratio
1,0.0
2,0.0
3,0.0
4,0.04
5,0.03076923076923077
6,0.025
7,0.021052631578947368
8,0.01818181818181818
9,0.164
10,0.4642857142857143
11,0.4671957671957673
12,0.5438248847926268
13,0.6027586206896551
14,0.6232323232323231
15,0.6206003584229391
16,0.577361111111111
17,0.5627027796764639
18,0.5425456896045132
19,0.5313585434173669
20,0.51608892462551
21,0.508108108108108
