iter,ratio
1,0.0
2,0.675
3,0.863015873015873
4,0.9133333333333333
5,0.9456060606060606
6,0.9592099567099568
7,0.8970389698021277
8,0.8449831418581418
9,0.8511941311612364
10,0.9139976445123503
11,0.9268243075394169
12,0.9057727205714821
13,0.9113967778364692
14,0.9221896180360896
15,0.89636327700289
16,0.9096991526991527
17,0.8838560335616625
18,0.9112197915906058
19,0.8966049697852847
20,0.9146269361013942
21,0.8986327940298345
22,0.9133985378643695
23,0.9013484041448535
24,0.9051176735791293
25,0.8935950837061017
26,0.883366494537835
27,0.8774042402933301
28,0.8940767989412267
29,0.9000955105743872
30,0.8949587079993613
31,0.8990974255674082
32,0.9112686131231891
33,0.910829578144454
34,0.9023617672161528
35,0.9087516416100685
36,0.9012999071318164
37,0.9057344480216092
38,0.9085241288628074
39,0.9041829538147901
40,0.907163609051716
41,0.9029226091183211
42,0.9047352148534976
43,0.9145714607339162
44,0.9188768664049324
45,0.920296207355365
46,0.9231620760745235
47,0.9236769769080813
48,0.9313290510542688
49,0.9478815173350238
50,0.9502459528600868
51,0.9534656323363478
52,0.9548128422499186
53,0.9643270686775773
54,0.9676315485077767
55,0.9669446392965787
56,0.9740478953462428
57,0.9703945753039871
58,0.9665582959916575
59,0.9695944372992322
60,0.969868244171691
61,0.9657512737920415
62,0.9694557926448055
63,0.9700834780340617
64,0.9724712193163233
65,0.9731100066471576
66,0.9751311944925336
67,0.9730998526568492
68,0.9711411391402489
69,0.969785795421734
70,0.970213331653618
71,0.969938683766294
72,0.9691855538758402
73,0.9684530576810152
74,0.967740358680645
75,0.9670466649869514
76,0.9663712263904601
77,0.9663712263904601
78,0.9663712263904601
79,0.9663712263904601
80,0.9663712263904601
81,0.9663712263904601
82,0.9663712263904601
83,0.9663712263904601
84,0.9663712263904601
85,0.9663712263904601
86,0.9663712263904601
87,0.9663712263904601
88,0.9663712263904601
89,0.9663712263904601
90,0.9663712263904601
91,0.9663712263904601
92,0.9663712263904601
93,0.9663712263904601
94,0.9663712263904601
95,0.9663712263904601
96,0.9663712263904601
97,0.9663712263904601
98,0.9663712263904601
99,0.9663712263904601
100,0.9663712263904601
101,0.9663712263904601
102,0.9663712263904601
103,0.9663712263904601
delivered,0.71
